Order_ID,Order_Date,Vendor_ID,Product_ID,Quantity,Unit_Price,Amount
PO106935,2021-01-01,V1001,P2012,16,70.06,1120.97
PO104079,2021-01-01,V1014,P2025,15,164.63,2469.47
PO121873,2021-01-01,V1000,P2034,28,973.59,27260.45
PO109835,2021-01-01,V1000,P2011,29,61.19,1774.42
PO115929,2021-01-01,V1010,P2011,55,61.26,3369.14
PO102830,2021-01-01,V1011,P2011,58,62.13,3603.29
PO111811,2021-01-01,V1003,P2001,38,125.02,4750.77
PO116488,2021-01-01,V1027,P2007,20,101.35,2026.99
PO104653,2021-01-01,V1005,P2011,17,69.48,1181.11
PO102532,2021-01-01,V1020,P2028,24,181.94,4366.56
PO109115,2021-01-01,V1022,P2034,37,927.48,34316.8
PO121860,2021-01-01,V1000,P2007,19,108.09,2053.78
PO115642,2021-01-01,V1027,P2001,63,122.73,7731.89
PO108053,2021-01-01,V1029,P2024,82,59.69,4894.76
PO115198,2021-01-02,V1024,P2018,48,933.54,44810.14
PO108434,2021-01-02,V1000,P2033,24,1212.4,29097.55
PO103554,2021-01-02,V1010,P2015,11,1226.23,13488.55
PO122541,2021-01-02,V1000,P2001,28,127.29,3563.98
PO104704,2021-01-02,V1004,P2034,12,986.17,11834.08
PO107723,2021-01-02,V1020,P2033,48,1230.26,59052.58
PO118907,2021-01-02,V1001,P2033,31,1107.54,34333.85
PO107191,2021-01-02,V1027,P2035,12,273.41,3280.95
PO107660,2021-01-03,V1010,P2033,34,1171.19,39820.53
PO109366,2021-01-03,V1026,P2011,51,68.96,3516.96
PO117116,2021-01-03,V1009,P2034,28,877.41,24567.37
PO119433,2021-01-03,V1014,P2007,41,113.13,4638.47
PO104057,2021-01-03,V1000,P2034,35,890.96,31183.7
PO104906,2021-01-03,V1000,P2027,19,206.47,3922.98
PO109975,2021-01-03,V1000,P2034,24,902.21,21653.06
PO122666,2021-01-03,V1000,P2001,24,117.35,2816.4
PO117236,2021-01-03,V1003,P2027,111,240.93,26743.08
PO107510,2021-01-04,V1018,P2011,11,59.67,656.33
PO102642,2021-01-04,V1001,P2007,70,105.78,7404.91
PO114749,2021-01-04,V1002,P2011,26,67.76,1761.88
PO113580,2021-01-04,V1007,P2034,26,893.81,23238.97
PO106682,2021-01-04,V1022,P2007,43,107.12,4606.01
PO102839,2021-01-04,V1014,P2033,27,1274.55,34412.82
